8;8;12;2;2;4;2;5;4;5;2;2;1;1;3;2;3;4;5;1;2;2;3;2;1;2;2;2;4;3;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1#1
44;23;23;13;13;21;14;11;21;11;14;13;12;12;4;14;4;21;11;12;13;13;4;11;12;14;4;4;11;4;11;12;11;12;0;4;0;0;0;4;0;0;0;0;0;3;0;0;0;3;0;3;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
1;0;0;1;1;10;4;0;1;0;1;0;1;5;5;0;1;0;0;0;1;1;0;0;1;4;4;1;0;5;0;5;0;4;2;0;0;1;2;5;1;2;0;2;2;7;0;0;2;7;0;7;0;0;0;2;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;10;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;2;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;2#1
3;0;0;0;0;18;0;0;3;0;0;0;3;4;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;2;0;0;2;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;3;0;2;6;0;6;0;0;2;3;0;3;0;0;0;0;0;0;2;0;2;0;0;18;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0#1
2;1;1;2;2;10;4;1;2;1;2;1;2;4;7;1;2;1;1;1;2;2;1;1;2;4;4;2;1;7;1;4;1;4;2;1;1;2;2;4;2;2;1;2;2;6;1;0;2;6;0;6;0;1;0;2;10;0;10;0;0;1;1;0;1;0;0;0;0;0;0;2;0;2;0;0;10;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;2;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0#1
0;0;0;2;0;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;2;2;0;0;2;6;1;1;0;1;0;5;0;5;2;0;0;0;2;1;2;1;0;2;2;6;0;0;2;2;0;6;0;0;0;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1#1
38;30;30;5;5;15;2;6;15;6;2;5;6;6;6;2;6;15;6;6;2;5;6;5;5;2;2;5;6;6;2;6;6;2;1;6;1;1;1;6;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1#1
44;24;24;13;13;27;14;9;27;9;14;13;10;10;13;14;13;24;9;10;13;13;13;9;10;14;13;13;9;13;9;10;9;10;1;9;1;1;1;10;1;1;1;1;1;3;0;0;1;3;0;3;0;0;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;27;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0#1
0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
