1;1;3;8;2;2;1;1;2;1;2;2;12;8;0;0;0;0;0;0;0;0;0;0#1
12;11;4;23;11;13;4;12;4;12;11;13;23;44;0;0;0;0;0;0;0;0;1;0#1
1;0;5;0;0;0;5;5;4;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0#1
0;0;6;0;0;0;4;4;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0#1
2;1;7;1;1;1;4;4;4;4;1;2;1;2;0;0;0;0;0;0;0;0;0;0#1
2;0;1;0;0;0;1;5;1;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0#1
5;6;6;30;2;5;6;6;2;2;5;2;30;38;0;0;0;0;0;0;0;0;0;0#1
10;9;13;24;9;13;10;10;13;10;9;13;24;44;0;0;0;0;0;0;0;0;1;0#1
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
4;4;3;8;1;4;3;3;1;1;4;1;8;15;0;0;0;0;0;0;0;0;0;0#1
5;9;6;11;1;5;10;6;1;1;5;1;11;16;0;0;0;0;0;0;0;0;0;0#1
0;0;1;4;0;0;1;3;1;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0#1
3;2;2;1;2;1;2;5;2;4;2;3;1;15;0;0;0;0;0;0;0;0;1;0#1
2;0;4;0;0;0;4;4;4;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0#1
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
6;6;7;11;2;11;6;6;2;2;15;2;11;35;0;0;0;0;0;0;0;0;0;0#1
0;1;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
1;0;2;0;0;0;1;1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0#1
0;0;1;0;0;0;1;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
1;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0#1
4;4;10;20;12;17;4;4;11;4;12;17;20;48;0;0;0;0;0;0;0;0;0;0#1
